rank,lemma,frequency,core_band,language
693,freund,59,Core-1000,de
694,gerät,59,Core-1000,de
695,beobachten,59,Core-1000,de
696,werfen,59,Core-1000,de
697,standort,59,Core-1000,de
698,angesichts,59,Core-1000,de
699,zahlen,58,Core-1000,de
700,moment,58,Core-1000,de
701,schwarz,58,Core-1000,de
702,links,58,Core-1000,de
703,essen,58,Core-1000,de
704,präsentieren,58,Core-1000,de
705,hören,58,Core-1000,de
706,begleiten,58,Core-1000,de
707,meist,58,Core-1000,de
708,global,58,Core-1000,de
709,innerhalb,58,Core-1000,de
710,britisch,58,Core-1000,de
711,staatsanwaltschaft,58,Core-1000,de
712,bestimmt,58,Core-1000,de
713,erfolgen,58,Core-1000,de
714,berliner,57,Core-1000,de
715,generation,57,Core-1000,de
716,leisten,57,Core-1000,de
717,selten,57,Core-1000,de
718,einzeln,57,Core-1000,de
719,bundesregierung,57,Core-1000,de
720,bericht,57,Core-1000,de
721,partie,57,Core-1000,de
722,energie,57,Core-1000,de
723,wechseln,57,Core-1000,de
724,jener,57,Core-1000,de
725,bahn,57,Core-1000,de
726,wünschen,57,Core-1000,de
727,dadurch,57,Core-1000,de
728,franken,56,Core-1000,de
729,verbindung,56,Core-1000,de
730,endlich,56,Core-1000,de
731,fokus,56,Core-1000,de
732,zoll,56,Core-1000,de
733,glück,56,Core-1000,de
734,dauern,56,Core-1000,de
735,dank,56,Core-1000,de
736,erhöhen,56,Core-1000,de
737,jeweils,56,Core-1000,de
738,darin,56,Core-1000,de
739,prüfen,56,Core-1000,de
740,hintergrund,56,Core-1000,de
741,lediglich,56,Core-1000,de
742,zugleich,56,Core-1000,de
743,form,56,Core-1000,de
744,zeuge,56,Core-1000,de
745,firma,56,Core-1000,de
746,auge,55,Core-1000,de
747,wachsen,55,Core-1000,de
748,technisch,55,Core-1000,de
749,ding,55,Core-1000,de
750,eben,55,Core-1000,de
751,manchmal,55,Core-1000,de
752,notwendig,55,Core-1000,de
753,zentral,55,Core-1000,de
754,foto,55,Core-1000,de
755,bisherig,55,Core-1000,de
756,regelmäßig,55,Core-1000,de
757,nachhaltig,55,Core-1000,de
758,richten,55,Core-1000,de
759,tief,55,Core-1000,de
760,ermitteln,55,Core-1000,de
761,hälfte,55,Core-1000,de
762,unbekannt,54,Core-1000,de
763,stück,54,Core-1000,de
764,sicht,54,Core-1000,de
765,produkt,54,Core-1000,de
766,beenden,54,Core-1000,de
767,zunehmend,54,Core-1000,de
768,günstig,54,Core-1000,de
769,vorjahr,54,Core-1000,de
770,längst,54,Core-1000,de
771,ernst,54,Core-1000,de
772,stimmen,54,Core-1000,de
773,vollständig,54,Core-1000,de
774,temperatur,54,Core-1000,de
775,stecken,54,Core-1000,de
776,beitrag,53,Core-1000,de
777,los,53,Core-1000,de
778,falsch,53,Core-1000,de
779,verhandlung,53,Core-1000,de
780,obwohl,53,Core-1000,de
781,finanziell,53,Core-1000,de
782,grün,53,Core-1000,de
783,aktie,53,Core-1000,de
784,beziehung,53,Core-1000,de
785,schauen,53,Core-1000,de
786,wiener,53,Core-1000,de
787,privat,53,Core-1000,de
788,betroffener,53,Core-1000,de
789,weiß,53,Core-1000,de
790,ausgabe,53,Core-1000,de
791,euch,53,Core-1000,de
792,vorstellen,52,Core-1000,de
793,dollar,52,Core-1000,de
794,tausend,52,Core-1000,de
795,bereit,52,Core-1000,de
796,zeitpunkt,52,Core-1000,de
797,risiko,52,Core-1000,de
798,washington,52,Core-1000,de
799,debatte,52,Core-1000,de
800,wobei,52,Core-1000,de
801,trumps,52,Core-1000,de
802,wirtschaftlich,52,Core-1000,de
803,landen,52,Core-1000,de
804,verweisen,52,Core-1000,de
805,beschäftigen,52,Core-1000,de
806,bürger,52,Core-1000,de
807,täglich,51,Core-1000,de
808,position,51,Core-1000,de
809,amt,51,Core-1000,de
810,bevölkerung,51,Core-1000,de
811,lösen,51,Core-1000,de
812,gefühl,51,Core-1000,de
813,gesetz,51,Core-1000,de
814,bundestag,51,Core-1000,de
815,serie,51,Core-1000,de
816,anbieten,51,Core-1000,de
817,vorwurf,51,Core-1000,de
818,mutmaßlich,51,Core-1000,de
819,profitieren,51,Core-1000,de
820,pkw,51,Core-1000,de
821,geplant,51,Core-1000,de
822,rechts,51,Core-1000,de
823,gebiet,51,Core-1000,de
824,werk,50,Core-1000,de
825,deutsche,50,Core-1000,de
826,plus,50,Core-1000,de
827,weisen,50,Core-1000,de
828,israelisch,50,Core-1000,de
829,partner,50,Core-1000,de
830,vertrag,50,Core-1000,de
831,einsatzkraft,50,Core-1000,de
832,rücken,50,Core-1000,de
833,wahrscheinlich,50,Core-1000,de
834,meinung,50,Core-1000,de
835,boden,50,Core-1000,de
836,schüler,50,Core-1000,de
837,zusammenhang,50,Core-1000,de
838,fördern,50,Core-1000,de
839,regel,50,Core-1000,de
840,auftritt,50,Core-1000,de
841,tod,50,Core-1000,de
842,runde,50,Core-1000,de
843,stattfinden,49,Core-1000,de
844,kündigen,49,Core-1000,de
845,ändern,49,Core-1000,de
846,waffe,49,Core-1000,de
847,körper,49,Core-1000,de
848,verantwortung,49,Core-1000,de
849,organisation,49,Core-1000,de
850,peter,49,Core-1000,de
851,erzielen,49,Core-1000,de
852,angst,49,Core-1000,de
853,neun,49,Core-1000,de
854,ankündigen,49,Core-1000,de
855,eröffnen,49,Core-1000,de
856,kaufen,49,Core-1000,de
857,oben,49,Core-1000,de
858,vorfall,49,Core-1000,de
859,äußern,49,Core-1000,de
860,beispielsweise,49,Core-1000,de
861,lesen,49,Core-1000,de
862,niederlage,48,Core-1000,de
